Code,Server,Service Tier,CMS,Branch,Primary Domain,Admin Link,Web Dir
A1-Tank,thalos,Tiny,3,dalaran,a1tankinstallation.com,https://a1-tank.solutiosoftware.com/administrator,nra/a1-tank
ABBGI,thalos,Tiny,3,dalaran,abbgi.com,https://abbgi.solutiosoftware.com/administrator,nra/abbgi
ABC-Hays,wold,Small,3,dalaran,abcseamless.net,https://abc-hays.solutiosoftware.com/administrator,nra/abc-hays
ABVM-Dun,moria2,,3,crystalsong,assumptionduncanok.com,https://abvm-dun.solutiosoftware.com/administrator,okc/abvm-dun
AgapeNFP,underhill,Medium,3,dalaran,www.agapenfp.net,https://agapenfp.solutiosoftware.com/administrator,nra/agapenfp
Alliance,thalos,,3,dalaran,bbccatholic.com,https://alliance.solutiosoftware.com/administrator,grandisland/alliance
AllSaints-Dallas,thalos,,3,dalaran,www.allsaintsdallas.org,https://allsaints-dallas.solutiosoftware.com/administrator,dallas/allsaints-dallas
AllSaints-Hold,valinor,,3,dalaran,allsaintsholdrege.org,https://allsaints-hold.solutiosoftware.com/administrator,lincoln/allsaints-hold
AllSaints-Norman,underhill,Small,3,dalaran,www.allsaintsnorman.org,https://allsaints-norman.solutiosoftware.com/administrator,okc/allsaints-norman
Andale,moria2,Medium,3,crystalsong,www.cityofandale.com,https://andale.solutiosoftware.com/administrator,nra/andale
Assumption-Center,wold,,3,dalaran,www.abvmcentereach.com,https://assumption-center.solutiosoftware.com/administrator,rc/assumption-center
Assumption-West,underhill,,3,dalaran,www.assumptionwestport.org,https://assumption-west.solutiosoftware.com/administrator,bridgeport/assumption-west
BecketMore,thalos,Tiny,3,dalaran,becketmore.law,https://becketmore.solutiosoftware.com/administrator,nra/becketmore
Blair75,yale,,3,dalaran,www.trinitycatholicparishes.org,https://blair75.solutiosoftware.com/administrator,omaha/blair75
Blockers,underhill,,4,,blockers.solutiosoftware.com,https://blockers.solutiosoftware.com/administrator,solutio/blockers
Brooklyn-Bros,thalos,Medium,3,dalaran,www.franciscanbrothersosf.org,https://brooklyn-bros.solutiosoftware.com/administrator,nra/brooklyn-bros
BS-Hanceville,valinor,Medium,3,dalaran,www.olamshrine.com,https://bs-hanceville.solutiosoftware.com/administrator,birmingham/bs-hanceville
BS-Valley,thalos,,3,dalaran,www.bsvs.us,https://bs-valley.solutiosoftware.com/administrator,rc/bs-valley
BS-Wichita,yale,,3,dalaran,blessedsacramentwichita.com,https://bs-wichita.solutiosoftware.com/administrator,wichita/bs-wichita
Buffalo-North,wold,,3,dalaran,catholiccbn.com,https://buffalo-north.solutiosoftware.com/administrator,buffalo/buffalo-north
BVM-Wynnewood,thalos,,3,dalaran,presbvm.org,https://bvm-wynnewood.solutiosoftware.com/administrator,philadelphia/bvm-wynnewood
Canaan,underhill,Medium,3,dalaran,www.enteringcanaan.com,https://canaan.solutiosoftware.com/administrator,nra/canaan
Capuchins-OFM,yale,Medium,3,dalaran,www.capuchin.org,https://capuchins-ofm.solutiosoftware.com/administrator,nra/capuchins-ofm
Carmel-Hub,underhill,Small,3,dalaran,www.maryhelpofchristiansocds.com,https://carmel-hub.solutiosoftware.com/administrator,nra/carmel-hub
Carmelite-California,wold,Small,3,dalaran,www.carmelscapular.com,https://carmelite-california.solutiosoftware.com/administrator,nra/carmelite-california
Carmelite-North,thalos,Medium,3,dalaran,carmelitedcjnorth.org,https://carmelite-north.solutiosoftware.com/administrator,nra/carmelite-north
Carmelite-Teresa,valinor,Tiny,3,dalaran,carmeliteministry.org,https://carmelite-teresa.solutiosoftware.com/administrator,nra/carmelite-teresa
Carmelites-MEV,underhill,Tiny,3,dalaran,maryevervirgin.org,https://carmelites-mev.solutiosoftware.com/administrator,nra/carmelites-mev
CATH,underhill,Small,3,dalaran,teachingpreachers.org,https://cath.solutiosoftware.com/administrator,nra/cath
Cathedral,thalos,,3,dalaran,wichitacathedral.com,https://cathedral.solutiosoftware.com/administrator,wichita/cathedral
CC-Lawrence,valinor,,3,dalaran,www.cccparish.org,https://cc-lawrence.solutiosoftware.com/administrator,kck/cc-lawrence
CCBC-ML,moria2,,3,crystalsong,barbercountycatholic.org,https://ccbc-ml.solutiosoftware.com/administrator,dodgecity/ccbc-ml
CF-FortWayne,thalos,Medium,3,dalaran,ccfnei.org,https://cf-fortwayne.solutiosoftware.com/administrator,nra/cf-fortwayne
CFA,yale,Tiny,3,dalaran,www.caminofullyalive.com,https://cfa.solutiosoftware.com/administrator,nra/cfa
Chanute,thalos,Small,3,dalaran,stpatrickchanute.org,https://chanute.solutiosoftware.com/administrator,wichita/chanute
COL-CH,moria2,Medium,3,crystalsong,christourlight.net,https://col-ch.solutiosoftware.com/administrator,camden/col-ch
Colwich,zelda,,3,dalaran,sacredheartcolwich.org,https://colwich.solutiosoftware.com/administrator,wichita/colwich
Comeau,thalos,,3,dalaran,www.catholictigers.org,https://comeau.solutiosoftware.com/administrator,salina/comeau
Congress-KS,valinor,Tiny,3,dalaran,congressionalcolleagues.com,https://congress-ks.solutiosoftware.com/administrator,nra/congress-ks
ConRes-USA,underhill,Small,3,dalaran,resurrectionists.com,https://conres-usa.solutiosoftware.com/administrator,nra/conres-usa
CSS,moria2,Small,3,crystalsong,catholiccharitiesswks.org,https://css.solutiosoftware.com/administrator,dodgecity/css
CTK-Indy,thalos,,3,dalaran,www.ctk-indy.org,https://ctk-indy.solutiosoftware.com/administrator,indianapolis/ctk-indy
CTK-Scott,moria2,Tiny,3,crystalsong,ctkscottsville.org,https://ctk-scott.solutiosoftware.com/administrator,owensboro/ctk-scott
CTK-Sisters,underhill,Small,3,dalaran,www.cksisters.org,https://ctk-sisters.solutiosoftware.com/administrator,nra/ctk-sisters
